T;NEOS;UNG;FPOE;WBER;SPOE;ABG;SLP;SPR;WWW;WV;WIFF;WK;GFW;BZ;OEVP;M;GRUE;FREIE;ANDAS
4;18;6;82;530;137;316;0;16;2;1;0;7;10;12;15;0;39;0;7
4;5;8;129;605;148;337;0;73;3;1;0;3;5;2;7;0;26;0;6
4;20;10;188;896;219;498;2;22;0;1;0;15;16;20;23;0;17;0;3
4;24;13;73;682;154;399;0;5;0;1;0;13;5;18;40;0;84;0;6
4;49;5;113;774;176;475;0;15;0;1;0;1;0;1;70;0;59;0;3
4;31;7;214;981;218;602;0;62;2;1;0;7;5;12;64;0;58;0;3
4;37;20;293;1079;194;629;0;95;0;1;10;16;1;21;36;0;35;0;3
4;20;14;231;957;216;591;0;58;1;1;0;7;6;12;57;0;45;0;1
4;51;9;83;883;193;519;0;12;1;1;0;2;0;7;42;0;131;0;9
4;12;4;92;570;135;303;0;65;1;1;0;3;7;2;8;0;36;0;8
4;43;12;123;908;188;505;0;25;1;1;0;1;6;5;34;0;94;0;4
4;35;17;228;801;185;531;0;66;1;1;0;18;3;23;29;0;27;0;6
4;26;4;213;926;221;611;0;98;3;1;8;16;0;21;71;0;60;0;5
4;20;1;57;485;83;260;0;11;0;1;0;1;0;1;61;0;36;1;1
4;76;7;159;958;198;596;0;27;2;1;0;8;0;13;97;0;53;0;4
4;21;23;62;559;151;343;0;26;1;1;0;1;1;5;18;0;62;0;4
4;19;20;106;751;136;380;0;7;2;1;0;10;1;15;35;0;56;0;5
4;2;15;175;836;204;429;0;67;0;1;0;17;11;22;10;1;9;0;2
4;40;6;106;686;141;403;0;2;0;1;0;1;0;1;67;0;38;0;5
4;22;5;65;728;175;423;0;138;0;1;0;5;11;10;38;0;102;0;5
4;17;31;131;893;177;480;1;10;0;1;0;15;3;20;30;0;86;0;4
4;4;19;182;724;123;359;0;54;0;1;0;5;7;10;10;0;9;0;5
4;22;9;150;844;196;461;0;59;2;1;0;7;5;12;27;0;45;0;5
4;6;3;162;554;123;331;0;20;4;1;0;17;0;22;18;0;13;0;2
4;26;13;74;537;169;376;0;95;2;1;0;3;0;2;22;0;57;0;13
4;0;0;0;0;0;0;0;68;0;1;0;9;0;14;0;0;0;0;0
4;82;10;147;919;162;650;0;11;1;1;0;8;1;13;158;0;86;0;3
4;18;1;43;472;135;305;0;139;0;1;0;5;10;10;14;0;83;0;1
4;55;14;88;807;164;512;0;15;0;1;0;2;0;8;90;0;95;0;6
4;9;8;110;630;121;292;0;34;0;1;0;5;6;10;13;0;21;0;4
4;48;19;95;744;177;475;0;39;0;1;0;4;0;3;51;0;80;0;5
4;12;9;71;595;139;339;0;27;0;1;0;3;4;2;20;0;82;0;2
4;20;32;238;1038;274;681;0;19;0;1;9;16;3;21;57;0;41;0;7
4;37;22;93;848;205;508;0;4;0;1;0;4;5;3;40;0;98;0;8
4;47;14;234;1107;227;657;0;95;2;1;0;17;0;22;50;2;74;0;7
4;16;7;119;631;184;399;0;28;1;1;0;14;1;19;53;0;16;0;2
4;4;5;82;496;126;236;0;53;1;1;0;4;4;3;6;0;7;0;1
4;3;3;135;694;161;357;0;78;2;1;0;3;12;2;17;0;20;0;4
4;45;12;226;799;170;555;0;65;0;1;0;18;6;23;52;0;39;0;5
4;39;2;211;952;239;637;0;47;3;1;0;11;9;16;27;0;92;0;15
4;60;11;95;786;145;436;0;9;0;1;0;1;0;1;63;0;59;0;3
4;24;17;82;805;219;448;0;16;1;1;0;3;0;2;43;0;56;0;6
4;20;5;168;815;204;493;0;61;1;1;0;11;6;16;28;0;56;0;5
4;57;14;153;835;200;588;0;29;0;1;0;18;2;23;72;0;84;0;6
4;10;2;27;0;53;130;0;0;0;1;0;1;0;6;14;0;23;0;1
4;35;9;76;741;154;444;0;26;1;1;0;1;2;6;44;0;112;1;10
4;54;9;104;809;171;495;0;25;0;1;0;13;0;18;73;0;79;0;5
4;19;11;167;794;174;456;0;23;1;1;0;7;10;12;26;0;46;0;2
4;26;10;97;564;146;371;0;105;0;1;0;5;4;10;32;0;51;0;5
4;22;12;74;663;173;402;0;3;5;1;0;1;0;1;62;0;48;0;6
4;31;12;177;832;203;516;0;36;2;1;0;17;2;22;24;2;56;0;7
4;14;38;189;1009;208;504;1;43;2;1;0;15;20;20;12;0;17;0;3
4;7;15;187;648;153;396;0;54;0;1;0;17;12;22;11;0;9;0;2
4;14;39;155;737;210;461;0;11;2;1;0;17;3;22;22;0;12;0;4
4;37;3;117;903;200;501;0;10;0;1;0;12;9;17;25;0;102;0;8
4;9;12;123;690;107;313;0;20;0;1;0;5;2;10;27;0;28;0;5
4;524;59;926;0;1869;5577;0;41;15;1;0;13;6;18;1080;0;1055;0;43
4;17;6;163;837;198;464;0;62;1;1;0;5;10;10;27;0;38;0;4
4;11;24;178;674;173;433;0;55;0;1;9;16;1;21;22;0;10;0;5
4;14;12;294;949;259;639;0;114;2;1;0;5;15;10;24;0;15;0;4
4;21;4;102;613;144;402;0;68;0;1;0;4;1;3;76;0;47;0;7
4;29;7;113;732;156;422;0;2;1;1;0;1;0;6;41;0;69;0;6
4;31;12;177;996;233;569;2;19;0;1;0;15;12;20;51;0;45;0;6
4;22;17;178;794;188;454;0;38;2;1;0;6;4;11;20;0;20;0;3
4;47;1;123;895;199;544;0;3;0;1;0;1;0;6;52;0;118;0;4
4;13;18;202;695;184;478;0;88;0;1;5;16;5;21;20;0;28;0;3
4;14;5;118;744;147;388;0;22;0;1;0;7;9;12;34;0;50;0;11
4;18;22;307;912;200;585;0;91;1;1;0;5;7;10;10;0;17;0;3
4;22;15;195;792;198;518;0;45;2;1;0;18;5;23;29;0;52;0;0
4;21;12;116;726;165;406;0;53;4;1;0;15;8;20;27;0;50;0;3
4;14;27;195;986;328;622;0;21;0;1;0;17;28;22;12;2;13;0;3
4;0;0;0;0;0;0;0;154;0;1;0;17;0;22;0;0;0;0;0
4;41;14;230;1090;234;610;0;147;1;1;0;17;0;22;32;1;52;0;5
4;42;9;64;741;163;438;0;10;0;1;0;2;1;7;51;0;103;0;5
4;40;34;224;945;242;633;0;121;2;1;0;17;1;22;57;0;29;0;4
4;62;11;115;761;132;493;0;34;0;1;0;8;1;13;116;0;53;0;3
4;310;24;448;0;1066;3056;0;23;3;1;0;2;1;8;522;0;652;0;30
4;10;14;147;800;234;460;0;14;0;1;0;5;24;10;14;0;17;0;0
4;60;38;158;896;208;688;0;19;0;1;0;9;0;14;136;0;86;0;2
4;43;5;77;766;174;446;0;20;1;1;0;1;3;6;50;0;90;0;3
4;18;19;272;737;186;523;0;118;3;1;0;5;0;10;8;0;14;0;3
4;12;7;87;599;185;354;0;20;1;1;0;1;2;5;31;0;24;0;5
4;24;2;98;649;132;339;0;33;0;1;0;4;5;3;32;0;38;0;8
4;49;5;129;827;185;500;0;24;0;1;0;14;1;19;76;0;51;0;4
4;7;9;114;450;138;300;0;27;2;1;0;17;6;22;10;0;11;0;3
4;8;9;203;843;188;454;0;77;0;1;0;3;2;2;19;0;23;0;2
4;26;12;169;923;278;598;0;65;2;1;0;11;14;16;48;0;40;0;9
4;36;14;146;933;180;546;0;10;1;1;0;7;4;12;56;0;98;0;11
4;17;3;168;724;182;436;0;7;1;1;6;16;0;21;28;0;29;0;2
4;27;25;200;918;310;634;0;99;0;1;0;17;0;22;36;1;33;0;2
4;9;6;186;559;169;404;0;86;1;1;0;18;5;23;16;0;7;0;5
4;69;18;117;1033;227;613;0;40;0;1;0;4;1;3;91;0;80;0;10
4;609;54;1345;0;1983;6060;0;46;12;1;0;8;8;13;1342;0;674;0;33
4;48;22;98;934;198;512;0;21;0;1;0;1;1;4;62;0;77;0;6
4;26;17;144;602;185;450;0;7;1;1;0;18;0;23;34;0;40;0;3
4;15;11;249;903;203;528;0;69;0;1;0;6;16;11;16;0;14;0;4
4;17;10;215;780;219;512;0;51;0;1;0;17;8;22;22;1;17;0;3
4;8;26;246;1086;258;593;0;1;1;1;0;10;15;15;15;0;21;0;3
4;9;39;233;1116;268;608;0;44;0;1;0;7;30;12;12;0;13;0;4
4;36;12;166;839;209;545;0;60;1;1;0;7;5;12;61;0;46;0;9
4;19;13;67;520;135;324;0;32;0;1;0;3;1;2;26;0;60;0;3
4;7;26;134;652;198;405;0;5;1;1;9;16;0;21;17;0;12;0;1
4;15;8;106;522;89;278;0;51;1;1;0;5;9;10;17;0;23;0;10
4;32;12;149;866;189;541;0;49;0;1;0;7;4;12;85;0;62;0;8
4;9;1;46;401;111;250;0;140;0;1;0;5;0;10;13;0;66;0;4
4;9;8;85;512;109;280;0;10;0;1;0;11;3;16;12;0;47;0;7
4;48;18;112;857;178;533;0;24;0;1;0;2;0;9;56;0;112;0;9
4;10;14;84;416;111;266;0;71;0;1;0;11;1;16;17;0;26;0;3
